Date,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,VNQ
2016-10-14,182.925537109375,109.70191955566406,106.79436492919922,43.63245391845703,29.77560806274414,101.05770111083984,87.1772689819336,119.36000061035156,56.768035888671875
2016-10-17,182.29037475585938,109.4022216796875,106.67021942138672,43.50383758544922,29.743316650390625,101.70282745361328,87.46392059326172,119.68000030517578,56.89103698730469
2016-10-18,183.4319305419922,110.37618255615234,107.28211212158203,43.935096740722656,30.268102645874023,102.03302764892578,87.67902374267578,120.41999816894531,57.25318145751953
2016-10-19,183.921142578125,110.36678314208984,107.7343521118164,44.056148529052734,30.453798294067383,102.11750793457031,87.79370880126953,121.11000061035156,57.37617874145508
2016-10-20,183.57781982421875,110.2357406616211,107.41510009765625,44.124237060546875,30.36498260498047,102.22506713867188,87.76499938964844,120.73999786376953,57.246334075927734
2016-10-21,183.6636505126953,110.64778137207031,107.36190032958984,44.025882720947266,30.35690689086914,102.37857055664062,87.81522369384766,120.83000183105469,57.03451919555664
2016-10-24,184.4447021484375,111.97761535644531,108.04472351074219,44.018314361572266,30.486101150512695,101.93318939208984,87.56432342529297,120.55999755859375,57.164337158203125
2016-10-25,183.82672119140625,111.62174987792969,107.23777770996094,43.988059997558594,30.518386840820312,102.2020034790039,87.49981689453125,121.47000122070312,57.06184005737305
2016-10-26,183.45765686035156,110.86316680908203,106.17366790771484,43.791351318359375,30.195438385009766,101.51081085205078,87.13423919677734,120.79000091552734,56.317073822021484
2016-10-27,182.96839904785156,110.35746002197266,104.95875549316406,43.738380432128906,29.937084197998047,100.4049301147461,86.7399673461914,121.01000213623047,54.84114456176758
2016-10-28,182.42767333984375,109.66442108154297,104.66612243652344,43.72325134277344,29.81597900390625,100.18225860595703,86.6396484375,121.58000183105469,54.970977783203125
2016-10-31,182.43630981445312,109.5614242553711,105.0828857421875,43.74595260620117,29.98552131652832,100.79662322998047,86.7184829711914,121.94000244140625,55.866092681884766
2016-11-01,181.1144561767578,108.7373046875,103.79710388183594,43.556800842285156,29.743316650390625,100.80429077148438,86.60926055908203,122.7300033569336,54.64982986450195
2016-11-02,180.02439880371094,107.86637115478516,102.47576141357422,43.261722564697266,29.388071060180664,101.24288940429688,86.73863220214844,123.63999938964844,53.850379943847656
2016-11-03,179.2003936767578,106.80812072753906,101.97920227050781,43.21633529663086,29.307336807250977,100.46575927734375,86.56611633300781,124.30000305175781,53.43356704711914
2016-11-04,179.00294494628906,106.43352508544922,102.6353988647461,42.80021667480469,29.008615493774414,101.36597442626953,86.82487487792969,124.38999938964844,53.857200622558594
2016-11-07,182.95126342773438,108.96206665039062,105.14496612548828,43.39034652709961,30.05819320678711,100.50421142578125,86.76736450195312,122.1500015258789,54.8001594543457
2016-11-08,183.77523803710938,109.67382049560547,105.41989135742188,43.51140213012695,30.251949310302734,100.09642028808594,86.57330322265625,121.63999938964844,55.08712387084961
2016-11-09,185.72357177734375,110.17951965332031,108.66546630859375,43.54924011230469,29.266971588134766,95.84910583496094,85.30123901367188,121.55999755859375,54.25352478027344
2016-11-10,186.18716430664062,108.4001693725586,110.40354919433594,43.428184509277344,28.43538475036621,94.43334197998047,85.22935485839844,119.75,53.3447380065918
2016-11-11,185.75794982910156,108.44700622558594,112.93974304199219,43.16337966918945,27.894447326660156,93.90242767333984,84.86282348632812,117.0999984741211,53.665889739990234
2016-11-14,185.9038543701172,107.35128784179688,114.52704620361328,42.928836822509766,27.692604064941406,93.3407211303711,84.4244613647461,116.11000061035156,54.93680191040039
2016-11-15,187.35446166992188,108.8403091430664,114.88176727294922,43.11798095703125,28.24968910217285,93.80240631103516,84.68311309814453,117.12000274658203,54.47901153564453
2016-11-16,187.0025177001953,109.48650360107422,114.8729019165039,42.664024353027344,28.01555633544922,94.64876556396484,84.80534362792969,116.7699966430664,54.32184600830078
2016-11-17,187.9638671875,110.28253936767578,115.54689025878906,42.98936080932617,28.055919647216797,93.25611114501953,84.26629638671875,116.16999816894531,53.76838302612305
2016-11-18,187.543212890625,109.87042999267578,116.15872955322266,42.52027130126953,27.926742553710938,92.98675537109375,83.79198455810547,115.1500015258789,53.92552185058594
2016-11-21,188.95947265625,111.01301574707031,116.69966888427734,42.88343811035156,28.20124053955078,93.21761322021484,83.8782730102539,115.58000183105469,53.76154708862305
2016-11-22,189.32861328125,111.35014343261719,117.76380157470703,42.98936080932617,28.629146575927734,93.1868667602539,84.09383392333984,115.54000091552734,54.70448684692383
2016-11-23,189.4315948486328,110.90059661865234,118.49982452392578,42.838043212890625,28.322355270385742,92.8252182006836,83.78479766845703,113.25,54.472164154052734
2016-11-25,190.13543701171875,111.2564926147461,118.89002990722656,42.96666717529297,28.459604263305664,92.96369934082031,83.79198455810547,112.61000061035156,54.78647994995117
2016-11-28,189.24276733398438,111.0036392211914,117.3470230102539,42.73970031738281,28.572628021240234,93.64850616455078,84.1728744506836,113.80000305175781,55.039306640625
2016-11-29,189.61181640625,111.38758087158203,117.28492736816406,43.01205825805664,28.61300277709961,94.0408935546875,84.28789520263672,113.2699966430664,55.56542205810547
2016-11-30,189.156982421875,110.03905487060547,116.70852661132812,42.96666717529297,28.661447525024414,92.5174331665039,83.9716567993164,111.75,54.92997741699219
2016-12-01,188.461669921875,108.13795471191406,116.1409912109375,42.80021667480469,28.322355270385742,91.54056549072266,83.50106811523438,111.54000091552734,54.12368392944336
2016-12-02,188.5560760498047,108.35334014892578,116.07891845703125,42.90613555908203,28.35464859008789,92.21137237548828,83.88304901123047,112.13999938964844,54.66348648071289
2016-12-05,189.6890869140625,109.19617462158203,118.07414245605469,43.32981872558594,28.588783264160156,92.11112213134766,84.06318664550781,111.54000091552734,55.066646575927734
2016-12-06,190.2898712158203,109.45842742919922,119.35108184814453,43.62489700317383,28.742185592651367,92.041748046875,84.05599975585938,111.43000030517578,55.42195510864258
2016-12-07,192.779052734375,110.84442901611328,120.51282501220703,44.27555465698242,29.226598739624023,92.8281478881836,84.40911865234375,111.83000183105469,56.52887725830078
2016-12-08,193.2511444091797,111.04112243652344,122.4104995727539,44.23773193359375,29.35578155517578,91.73332977294922,84.06318664550781,111.56999969482422,56.91835021972656
2016-12-09,194.41844177246094,111.91204833984375,122.64990234375,44.426876068115234,29.20237922668457,90.59223937988281,83.73885345458984,110.4000015258789,56.85685348510742
2016-12-12,194.19522094726562,111.4063720703125,121.35525512695312,44.23017120361328,29.008615493774414,90.76187133789062,83.65962219238281,110.81999969482422,57.2326774597168
2016-12-13,195.49130249023438,112.81108856201172,121.36412048339844,44.70681381225586,29.33155059814453,91.08570861816406,83.84697723388672,110.44999694824219,57.20534133911133
2016-12-14,193.877685546875,112.57697296142578,119.84770202636719,44.04859161376953,28.459604263305664,90.06793975830078,83.31370544433594,108.83000183105469,55.95492172241211
2016-12-15,194.67588806152344,112.7549057006836,120.74333953857422,43.95022201538086,28.5080509185791,90.5228271484375,83.37135314941406,107.33999633789062,55.626930236816406
2016-12-16,194.295166015625,112.3369369506836,120.52168273925781,43.98050308227539,28.378875732421875,90.31470489501953,83.3064956665039,108.05000305175781,56.46055221557617
2016-12-19,194.7182159423828,112.79718017578125,121.31088256835938,43.91239929199219,28.185102462768555,91.28614807128906,83.71009063720703,108.58999633789062,57.068687438964844
2016-12-20,195.4694061279297,113.22923278808594,122.33953857421875,44.06371307373047,28.281984329223633,90.83125305175781,83.65962219238281,107.79000091552734,57.19850540161133
2016-12-21,194.92543029785156,113.14469146728516,121.54145050048828,44.07594299316406,28.164398193359375,91.23216247558594,83.92623901367188,107.8499984741211,56.330718994140625
2016-12-22,194.58871459960938,112.82536315917969,120.493408203125,43.97657012939453,27.829593658447266,91.06907653808594,83.9320297241211,107.58999633789062,56.23652648925781
2016-12-23,194.87362670898438,112.90050506591797,121.1344985961914,44.091243743896484,27.992910385131836,91.25457763671875,84.06212615966797,107.93000030517578,56.3830451965332
2016-12-27,195.35714721679688,113.48283386230469,121.6777114868164,44.03772735595703,28.115402221679688,90.96086883544922,83.91036987304688,108.55999755859375,56.50164031982422
2016-12-28,193.7425994873047,112.59991455078125,120.43107604980469,43.86955261230469,28.327709197998047,91.62564849853516,84.22108459472656,108.86000061035156,56.15980529785156
2016-12-29,193.699462890625,112.44025421142578,120.53791809082031,43.97657012939453,28.793170928955078,91.95027923583984,84.5462417602539,110.29000091552734,56.85746383666992
2016-12-30,192.9915008544922,111.28495025634766,120.07490539550781,44.129459381103516,28.58902359008789,92.0894775390625,84.67633056640625,109.61000061035156,57.57600402832031
2017-01-03,194.46792602539062,112.28058624267578,120.6715316772461,44.40464401245117,28.93199348449707,92.48371887207031,84.74861145019531,110.47000122070312,57.76437759399414
2017-01-04,195.624755859375,112.89109802246094,122.68389129638672,44.90916061401367,29.15247917175293,92.83921813964844,85.03764343261719,110.86000061035156,58.60850524902344
2017-01-05,195.4694061279297,113.52982330322266,121.26806640625,45.291358947753906,29.470949172973633,94.29254913330078,85.49292755126953,112.58000183105469,58.79688262939453
2017-01-06,196.1687469482422,114.52543640136719,120.8228988647461,45.138484954833984,29.348451614379883,93.4267807006836,85.04487609863281,111.75,58.80384826660156
2017-01-09,195.52117919921875,114.90113830566406,120.03040313720703,45.06968307495117,29.323957443237305,94.17659759521484,85.21104431152344,112.66999816894531,58.27365493774414
2017-01-10,195.52117919921875,115.15473937988281,121.17903137207031,45.077327728271484,29.495441436767578,94.11475372314453,85.16051483154297,113.1500015258789,57.778297424316406
2017-01-11,196.07373046875,115.4646987915039,121.39276885986328,45.314292907714844,29.84658432006836,94.43169403076172,85.29052734375,113.5,57.42253875732422
2017-01-12,195.58164978027344,115.28622436523438,120.45780944824219,45.38309097290039,29.977243423461914,94.22295379638672,85.2833251953125,113.91000366210938,57.71554183959961
2017-01-13,196.03057861328125,115.68072509765625,121.33042907714844,45.55126190185547,29.95274543762207,93.77461242675781,85.10990142822266,114.20999908447266,57.63182067871094
2017-01-17,195.33985900878906,115.33320617675781,119.68312072753906,45.38309097290039,29.936405181884766,94.75638580322266,85.47840118408203,115.8499984741211,58.07830810546875
2017-01-18,195.77157592773438,115.56800842285156,120.07490539550781,45.253143310546875,29.773082733154297,93.542724609375,84.91481018066406,114.87000274658203,58.175994873046875
2017-01-19,195.0462646484375,115.51165008544922,119.0954360961914,45.138484954833984,29.68326187133789,92.90115356445312,84.62576293945312,114.7699966430664,57.58300018310547
2017-01-20,195.76290893554688,115.76527404785156,119.7098388671875,45.39837646484375,29.740427017211914,92.7155990600586,84.77750396728516,115.05000305175781,58.001556396484375
2017-01-23,195.25355529785156,115.85920715332031,119.21119689941406,45.51303482055664,30.18138885498047,93.6431884765625,85.16767883300781,115.79000091552734,58.489906311035156
