Date,VOO,IVV,SPY,VTI,QQQ,VEA,VUG,GLD,IEFA,VTV
2024-01-17,421.8984680175781,461.0584411621094,459.640869140625,227.97506713867188,402.2545166015625,43.15177917480469,307.67620849609375,185.83999633789062,63.53147888183594,140.17025756835938
2024-01-18,425.650146484375,465.0121765136719,463.72833251953125,229.9867401123047,407.9642333984375,43.54397964477539,311.772216796875,187.3699951171875,64.1002197265625,140.61700439453125
2024-01-19,430.8599548339844,470.83099365234375,469.50927734375,232.78549194335938,416.05450439453125,43.684051513671875,316.5805969238281,187.92999267578125,64.23074340820312,141.82423400878906
2024-01-22,431.8415832519531,471.8509826660156,470.50201416015625,233.79617309570312,416.59783935546875,43.79611587524414,317.0851135253906,187.22000122070312,64.45451354980469,142.27101135253906
2024-01-23,433.12457275390625,473.3178405761719,471.8741760253906,234.22378540039062,418.3265380859375,43.72140121459961,318.07452392578125,187.9499969482422,64.28668975830078,142.78431701660156
2024-01-24,433.4841613769531,473.67718505859375,472.3900146484375,234.18490600585938,420.6479187011719,43.99221420288086,319.2320861816406,186.39999389648438,64.75286102294922,142.30902099609375
2024-01-25,435.9237976074219,476.3195495605469,474.95928955078125,235.48712158203125,421.16156005859375,44.104270935058594,319.9840087890625,187.13999938964844,64.92069244384766,143.5542449951172
2024-01-26,435.661376953125,475.8241271972656,474.3559265136719,235.29275512695312,418.65252685546875,44.291038513183594,319.390380859375,187.00999450683594,65.2097396850586,143.6302947998047
2024-01-29,438.83001708984375,479.5641174316406,478.1125183105469,237.4307403564453,422.939697265625,44.55250549316406,323.1896057128906,188.3300018310547,65.56403350830078,144.12460327148438
2024-01-30,438.51898193359375,479.20465087890625,477.7427062988281,237.10031127929688,420.1243591308594,44.4964714050293,321.1515197753906,188.58999633789062,65.46147155761719,144.70445251464844
2024-01-31,431.3750305175781,471.3361511230469,469.947265625,233.106201171875,411.895751953125,44.244346618652344,314.2159423828125,188.4499969482422,65.14447784423828,143.3451385498047
2024-02-01,437.0513000488281,477.5921630859375,476.0979309082031,236.24513244628906,416.7460021972656,44.71125411987305,319.3310546875,190.41000366210938,65.77848052978516,144.780517578125
2024-02-02,441.5417785644531,482.5172424316406,481.1100158691406,238.26646423339844,423.7892150878906,44.39375686645508,325.7521057128906,188.61000061035156,65.24703216552734,144.6949462890625
2024-02-05,439.9283142089844,480.9046936035156,479.35821533203125,237.13917541503906,423.2360534667969,44.104270935058594,325.54437255859375,187.57000732421875,64.86476135253906,143.6683349609375
2024-02-06,441.29876708984375,482.2063293457031,480.74993896484375,237.94580078125,422.38653564453125,44.37508010864258,325.643310546875,188.5500030517578,65.26567840576172,144.44781494140625
