Index,universe_id,tickers,rebalance_date,forward_end,samples,selected_objective,weighted_reward,blended_excess_reward
57,57,"ES,FSLR,HON,INTC,SJM,STE,TRV,VRTX,WDC,WFC",2022-04-08,2022-04-14,1,mean_variance,0.0050136528487569176,0.0050185322761535645
58,58,"APA,APO,APP,DHI,GPN,GS,HON,RSG,SWK,VTR",2025-01-17,2025-01-24,1,mean_variance,0.016823872556775088,0.0168226957321167
59,59,"APO,BKR,EQIX,GPN,NVR,OMC,PANW,RF,TTD,VTR",2024-10-04,2024-10-11,1,equal_weight,-0.0026644712384017,-0.0026618242263793945
60,60,"APA,EQIX,ES,GS,HSIC,NDAQ,OKE,PAYX,TMO,WFC",2025-11-21,2025-11-28,1,mean_variance,0.0028922457397334515,0.0028940439224243164
61,61,"BF-B,BKR,CMS,ESS,GPN,HCA,MAR,PANW,TAP,TMO",2025-01-17,2025-01-24,1,min_variance,-0.000398832201700423,-0.00039458274841308594
62,62,"BR,CARR,CMS,ETR,GS,LLY,MSI,PH,TRV,XYL",2023-04-06,2023-04-14,1,equal_weight,-0.002713264917306886,-0.002713918685913086
63,63,"AME,AWK,BF-B,BIIB,BR,COR,FITB,GOOG,MDLZ,WFC",2026-02-06,2026-02-13,1,min_variance,0.0017558297700698544,0.001754164695739746
64,64,"ETR,GOOG,HAS,KKR,LMT,PAYX,TRV,TTD,USB,VTR",2023-06-23,2023-06-30,1,mean_variance,0.006472267137669484,0.006481528282165527
65,65,"AME,COR,EQIX,EXE,FCX,FSLR,MCHP,NCLH,NTAP,SWK",2023-01-27,2023-02-03,1,equal_weight,-0.0012396572826191806,-0.0012359619140625
66,66,"HON,IQV,MCHP,NDAQ,NI,POOL,PSA,SWK,VTR,XYL",2025-10-24,2025-10-31,1,mean_variance,0.014144813908714216,0.01415097713470459
67,67,"BIIB,CDW,FCX,FITB,HON,LMT,MAR,NVR,SATS,VTR",2023-04-14,2023-04-21,1,mean_variance,0.02656634071616068,0.0265616774559021
68,68,"APA,APO,APP,DHI,ESS,INTC,LMT,MCHP,SJM,VTR",2021-11-19,2021-11-26,1,min_variance,0.015899633833735344,0.015896320343017578
69,69,"COR,EQIX,EXE,HAS,HON,HSIC,KKR,NWSA,SJM,VST",2023-09-29,2023-10-06,1,min_variance,0.0033886921385834555,0.0033859610557556152
70,70,"APA,ES,FITB,HCA,HSIC,INTC,IQV,KKR,MCHP,SATS",2025-04-17,2025-04-25,1,equal_weight,-0.0004908182959457387,-0.0004938840866088867
71,71,"APO,CPRT,ES,FITB,FSLR,LH,NVR,PH,SATS,VRTX",2022-06-03,2022-06-10,1,risk_parity,0.001564244213550354,0.0015740394592285156
72,72,"ACGL,AME,APA,BF-B,BR,CDW,CMS,SJM,TMO,USB",2023-09-22,2023-09-29,1,mean_variance,0.006278546255058861,0.006296038627624512
73,73,"ACGL,CHD,ETR,IQV,MAR,NTAP,SATS,STE,WY,XYL",2022-02-25,2022-03-04,1,min_variance,0.02095275119340169,0.02094799280166626
74,74,"BF-B,CDNS,GOOG,HON,MSI,PSA,STE,TMO,TTD,VST",2024-10-11,2024-10-18,1,mean_variance,0.013577836978486255,0.013632774353027344
75,75,"AME,APA,AWK,EXE,GOOG,HAS,NCLH,POOL,RSG,STE",2023-10-13,2023-10-20,1,mean_variance,0.020116181849967205,0.02010887861251831
76,76,"BKR,BR,CARR,CDNS,DHI,EXE,MSI,PANW,RSG,STE",2023-02-03,2023-02-10,1,min_variance,0.02169705522359325,0.021692395210266113
77,77,"AME,BR,GS,LMT,MDLZ,MSI,NCLH,SWK,VRT,VST",2022-08-12,2022-08-19,1,min_variance,0.021646446236420418,0.02163904905319214
78,78,"APO,BR,COR,EXE,FTNT,HON,MDLZ,OKE,TAP,WFC",2024-03-15,2024-03-22,1,equal_weight,-0.0008966329427377964,-0.0008896589279174805
79,79,"CHD,HAS,LLY,LMT,MCHP,MDLZ,OMC,PSA,PSX,VRT",2024-09-13,2024-09-20,1,equal_weight,-0.003294884598567264,-0.003291487693786621
80,80,"ACGL,APA,GOOG,HON,HSIC,IQV,LMT,RF,TMO,WDC",2025-12-26,2026-01-02,1,mean_variance,0.0004765340717120029,0.000498652458190918
81,81,"CHD,COR,ES,FSLR,OKE,TMO,TTD,USB,VST,WY",2023-08-04,2023-08-11,1,min_variance,-0.000536064736080694,-0.0005334615707397461
82,82,"BF-B,FTNT,GS,KKR,MAR,NVR,PH,POOL,SATS,WDC",2022-04-14,2022-04-22,1,min_variance,0.0039756975099568305,0.003980696201324463
