Index,universe_id,tickers,rebalance_date,forward_end,samples,selected_objective,weighted_reward,blended_excess_reward
52,52,"BR,FCX,GOOG,HON,KKR,NDAQ,NVR,PAYX,SBAC,USB",2023-03-10,2023-03-17,1,mean_variance,0.030966406123709395,0.030961990356445312
53,53,"ACGL,AME,CHD,GOOG,GPN,HAS,NI,TMO,VRTX,WDC",2023-09-08,2023-09-15,1,min_variance,0.001857536896380465,0.0018553733825683594
54,54,"ACGL,CARR,CHD,ETR,HCA,MAR,MCHP,MDLZ,PH,WFC",2023-10-27,2023-11-03,1,equal_weight,-0.002245683813403879,-0.0022068023681640625
55,55,"ETR,IQV,KKR,NDAQ,NI,PANW,RSG,SWK,TTD,VST",2021-08-20,2021-08-27,1,min_variance,0.0032854809456656794,0.0032891035079956055
56,56,"BIIB,CDNS,EXE,HAS,NDAQ,PSA,STE,USB,VST,WY",2024-01-26,2024-02-02,1,mean_variance,0.024561490326672934,0.02455925941467285
57,57,"ES,FSLR,HON,INTC,SJM,STE,TRV,VRTX,WDC,WFC",2022-03-04,2022-03-11,1,min_variance,0.007760037175303901,0.007759809494018555
58,58,"APA,APO,APP,DHI,GPN,GS,HON,RSG,SWK,VTR",2025-01-10,2025-01-17,1,equal_weight,-0.0023753893892243163,-0.002379894256591797
59,59,"APO,BKR,EQIX,GPN,NVR,OMC,PANW,RF,TTD,VTR",2024-09-20,2024-09-27,1,min_variance,0.006363932512879597,0.006362438201904297
60,60,"APA,EQIX,ES,GS,HSIC,NDAQ,OKE,PAYX,TMO,WFC",2025-11-21,2025-11-28,1,mean_variance,0.00020595626908091432,0.0002149343490600586
61,61,"BF-B,BKR,CMS,ESS,GPN,HCA,MAR,PANW,TAP,TMO",2025-01-10,2025-01-17,1,mean_variance,0.005058029087865233,0.00505375862121582
62,62,"BR,CARR,CMS,ETR,GS,LLY,MSI,PH,TRV,XYL",2023-03-10,2023-03-17,1,risk_parity,0.00329964004641517,0.003301680088043213
63,63,"AME,AWK,BF-B,BIIB,BR,COR,FITB,GOOG,MDLZ,WFC",2026-02-06,2026-02-13,1,mean_variance,0.0013911705973482758,0.001416325569152832
64,64,"ETR,GOOG,HAS,KKR,LMT,PAYX,TRV,TTD,USB,VTR",2023-05-26,2023-06-02,1,mean_variance,0.00021791721328321442,0.0002391338348388672
65,65,"AME,COR,EQIX,EXE,FCX,FSLR,MCHP,NCLH,NTAP,SWK",2022-12-30,2023-01-06,1,mean_variance,0.0011456705070904123,0.001171112060546875
66,66,"HON,IQV,MCHP,NDAQ,NI,POOL,PSA,SWK,VTR,XYL",2025-10-24,2025-10-31,1,min_variance,0.004105871542783971,0.004126489162445068
67,67,"BIIB,CDW,FCX,FITB,HON,LMT,MAR,NVR,SATS,VTR",2023-03-17,2023-03-24,1,min_variance,0.0003631851866275354,0.00037348270416259766
68,68,"APA,APO,APP,DHI,ESS,INTC,LMT,MCHP,SJM,VTR",2021-10-15,2021-10-22,1,mean_variance,0.04659211185088786,0.046592116355895996
69,69,"COR,EQIX,EXE,HAS,HON,HSIC,KKR,NWSA,SJM,VST",2023-09-08,2023-09-15,1,equal_weight,-0.001050586976656893,-0.0010519623756408691
70,70,"APA,ES,FITB,HCA,HSIC,INTC,IQV,KKR,MCHP,SATS",2025-04-11,2025-04-17,1,min_variance,0.0003404791622292424,0.0003426074981689453
71,71,"APO,CPRT,ES,FITB,FSLR,LH,NVR,PH,SATS,VRTX",2022-04-29,2022-05-06,1,risk_parity,-0.0007238704591937296,-0.0007027983665466309
72,72,"ACGL,AME,APA,BF-B,BR,CDW,CMS,SJM,TMO,USB",2023-09-01,2023-09-08,1,min_variance,0.001079257979830817,0.0010796189308166504
73,73,"ACGL,CHD,ETR,IQV,MAR,NTAP,SATS,STE,WY,XYL",2022-01-14,2022-01-21,1,mean_variance,0.014017142883898378,0.014007508754730225
74,74,"BF-B,CDNS,GOOG,HON,MSI,PSA,STE,TMO,TTD,VST",2024-09-27,2024-10-04,1,mean_variance,0.02914874793699099,0.029147028923034668
75,75,"AME,APA,AWK,EXE,GOOG,HAS,NCLH,POOL,RSG,STE",2023-09-22,2023-09-29,1,equal_weight,-0.0024740101394428965,-0.002470731735229492
76,76,"BKR,BR,CARR,CDNS,DHI,EXE,MSI,PANW,RSG,STE",2023-01-06,2023-01-13,1,equal_weight,-0.001583028304110755,-0.0015404224395751953
77,77,"AME,BR,GS,LMT,MDLZ,MSI,NCLH,SWK,VRT,VST",2022-07-08,2022-07-15,1,equal_weight,-0.002828304514541604,-0.0028172731399536133
78,78,"APO,BR,COR,EXE,FTNT,HON,MDLZ,OKE,TAP,WFC",2024-02-23,2024-03-01,1,mean_variance,0.0029822064211831793,0.0029799938201904297
79,79,"CHD,HAS,LLY,LMT,MCHP,MDLZ,OMC,PSA,PSX,VRT",2024-08-30,2024-09-06,1,min_variance,0.038244614284769336,0.03824257850646973
80,80,"ACGL,APA,GOOG,HON,HSIC,IQV,LMT,RF,TMO,WDC",2025-12-19,2025-12-26,1,mean_variance,-0.0002748289273981988,-0.00026857852935791016
81,81,"CHD,COR,ES,FSLR,OKE,TMO,TTD,USB,VST,WY",2023-07-14,2023-07-21,1,equal_weight,-0.002385137234140791,-0.0023827552795410156
82,82,"BF-B,FTNT,GS,KKR,MAR,NVR,PH,POOL,SATS,WDC",2022-03-11,2022-03-18,1,mean_variance,0.0058308107890231746,0.005836606025695801
83,83,"ACGL,AME,BIIB,COR,CPRT,HON,INTC,POOL,WFC,XYL",2025-06-13,2025-06-20,1,equal_weight,-0.00018717178149670033,-0.0001857280731201172
84,84,"ACGL,EXE,FSLR,GS,HCA,MCHP,MDLZ,MSI,NDAQ,NI",2024-06-21,2024-06-28,1,min_variance,0.0101153130748479,0.010113894939422607
85,85,"AME,APO,BR,CDW,FCX,FITB,FTNT,OMC,PAYX,WFC",2024-10-25,2024-11-01,1,min_variance,0.010438535462253777,0.010459423065185547
86,86,"APP,CHD,CMS,ES,IBM,IQV,KKR,LMT,VRTX,YUM",2021-11-19,2021-11-26,1,min_variance,0.006222287380607336,0.006221294403076172
87,87,"BKR,CARR,DHI,ES,EXE,FITB,INTC,NI,SATS,STE",2022-12-09,2022-12-16,1,min_variance,0.002646139674974042,0.0026535391807556152
